,Provincias,Ramas de actividad,periodo,Total
0,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8663814
1,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7855556
2,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37279735
3,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33979911
4,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15659622
5,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14607070
6,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12939983
7,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11731451
8,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23549659
9,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21319148
10,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3300110
11,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3076404
12,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12723211
13,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11638254
14,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30031668
15,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26198090
16,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885
17,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,160180344
18,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900
19,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,32929019
20,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704
21,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9571028
22,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526
23,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7201986
24,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22635742
25,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20253717
26,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14022067
27,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12852323
28,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16147043
29,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14226621
30,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10832838
31,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9995769
32,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14616131
33,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13007297
34,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27347965
35,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25361458
36,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4594001
37,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4195214
38,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23839000
39,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21835162
40,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21355174
41,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19520752
42,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,17140505
43,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,15802260
44,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,5502747
45,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,5047876
46,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10763135
47,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9243502
48,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,6802388
49,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6277103
50,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,11754569
51,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,10675734
52,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10224642
53,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9304383
54,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12558913
55,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11521909
56,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7395362
57,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6891215
